종목코드,종목명,종가,대비,등락률,상장시가총액
"005930","삼성전자","70400","200","0.28","4.20272692E8"
"000660","SK하이닉스","98500","2200","2.28","7.1708233E7"
"035420","NAVER","407500","-3000","-0.73","6.6937333E7"
"207940","삼성바이오로직스","880000","12000","1.38","5.82252E7"
"051910","LG화학","818000","12000","1.49","5.7744537E7"
"035720","카카오","127500","-500","-0.39","5.6783568E7"
"006400","삼성SDI","737000","14000","1.94","5.0679459E7"
"005380","현대차","207500","0","0.00","4.4336149E7"
"000270","기아","83400","-200","-0.24","3.3807303E7"
"068270","셀트리온","219500","2000","0.92","3.027667E7"
"323410","카카오뱅크","60100","-100","-0.17","2.8553524E7"
"005490","POSCO","303500","-7500","-2.41","2.6461204E7"
"012330","현대모비스","264500","-3000","-1.12","2.5072773E7"
"259960","크래프톤","488000","-5000","-1.01","2.3888305E7"
"105560","KB금융","57600","200","0.35","2.3950536E7"
"096770","SK이노베이션","256500","-500","-0.19","2.3717417E7"
"028260","삼성물산","120500","-1000","-0.82","2.2519893E7"
"017670","SK텔레콤","312000","14000","4.70","2.2482765E7"
"051900","LG생활건강","1365000","-22000","-1.59","2.1318839E7"
"055550","신한지주","40050","-300","-0.74","2.0689812E7"
"066570","LG전자","125000","-500","-0.40","2.0455977E7"
"034730","SK","252000","-2500","-0.98","1.7730795E7"
"302440","SK바이오사이언스","225000","2000","0.90","1.72125E7"
"003550","LG","94600","-100","-0.11","1.4880674E7"
"015760","한국전력","22950","-250","-1.08","1.4733076E7"
"032830","삼성생명","70400","-600","-0.85","1.408E7"
"086790","하나금융지주","46150","150","0.33","1.3856171E7"
"036570","엔씨소프트","628000","9000","1.45","1.3787126E7"
"352820","하이브","325000","-5500","-1.66","1.2691516E7"
"361610","SK아이이테크놀로지","177000","-1000","-0.56","1.2619674E7"
"018260","삼성에스디에스","155500","-1500","-0.96","1.2032248E7"
"034020","두산중공업","22600","-500","-2.16","1.1722746E7"
"011200","HMM","28950","-450","-1.53","1.1736112E7"
"009150","삼성전기","156500","-500","-0.32","1.1689563E7"
"000810","삼성화재","245000","-2000","-0.81","1.1606835E7"
"010950","S-Oil","102000","-3500","-3.32","1.1483445E7"
"003670","포스코케미칼","148000","-5000","-3.27","1.1464557E7"
"033780","KT&G","82200","100","0.12","1.1285443E7"
"251270","넷마블","129000","3000","2.38","1.1088002E7"
"010130","고려아연","571000","-5000","-0.87","1.077477E7"
"090430","아모레퍼시픽","186500","500","0.27","1.09089E7"
"003490","대한항공","30450","50","0.16","1.0591144E7"
"316140","우리금융지주","12750","0","0.00","9282772.0"
"024110","기업은행","11250","0","0.00","8373382.0"
"030200","KT","31750","-200","-0.63","8290300.0"
"011170","롯데케미칼","237500","-4500","-1.86","8140412.0"
"009830","한화솔루션","42850","-850","-1.95","8196284.0"
"018880","한온시스템","15000","0","0.00","8007000.0"
"326030","SK바이오팜","98000","500","0.51","7674699.0"
"009540","한국조선해양","96600","-700","-0.72","6836683.0"
"011790","SKC","175500","6500","3.85","6645886.0"
"086280","현대글로비스","172500","-4500","-2.54","6468750.0"
"032640","LG유플러스","14850","-100","-0.67","6483679.0"
"034220","LG디스플레이","17800","-150","-0.84","6369119.0"
"035250","강원랜드","28700","-250","-0.86","6140092.0"
"021240","코웨이","82800","-400","-0.48","6110608.0"
"004020","현대제철","44350","-1600","-3.48","5918321.0"
"097950","CJ제일제당","394000","-1500","-0.38","5931349.0"
"006800","미래에셋증권","8840","40","0.45","5616197.0"
"000720","현대건설","50600","-300","-0.59","5634602.0"
"011780","금호석유","178500","-3000","-1.65","5438483.0"
"161390","한국타이어앤테크놀로지","43050","-450","-1.03","5332822.0"
"028050","삼성엔지니어링","25600","100","0.39","5017600.0"
"271560","오리온","125500","500","0.40","4961785.0"
"267250","현대중공업지주","62700","-700","-1.10","4952866.0"
"071050","한국금융지주","87600","-1100","-1.24","4881597.0"
"020150","일진머티리얼즈","104500","-2500","-2.34","4818582.0"
"139480","이마트","166500","5000","3.10","4641324.0"
"011070","LG이노텍","197000","2500","1.29","4662420.0"
"005830","DB손해보험","66100","-700","-1.05","4679880.0"
"016360","삼성증권","48250","-550","-1.13","4308725.0"
"002790","아모레G","51600","-100","-0.19","4254842.0"
"000100","유한양행","61800","0","0.00","4324329.0"
"029780","삼성카드","35100","-200","-0.57","4066647.0"
"078930","GS","43900","-1350","-2.98","4078985.0"
"036460","한국가스공사","43950","-2650","-5.69","4057156.0"
"014680","한솔케미칼","342500","0","0.00","3882304.0"
"008930","한미사이언스","59000","-200","-0.34","3970972.0"
"003410","쌍용C&E","7650","-10","-0.13","3854526.0"
"180640","한진칼","56500","-200","-0.35","3770746.0"
"010140","삼성중공업","5950","-40","-0.67","3748500.0"
"005940","NH투자증권","13100","-150","-1.13","3686456.0"
"241560","두산밥캣","38100","-700","-1.80","3819493.0"
"004990","롯데지주","33400","-50","-0.15","3503969.0"
"008770","호텔신라","89400","-400","-0.45","3508782.0"
"006360","GS건설","41250","-350","-0.84","3530236.0"
"128940","한미약품","273500","-3500","-1.26","3303410.0"
"336260","두산퓨얼셀","50600","600","1.20","3313983.0"
"008560","메리츠증권","4920","-35","-0.71","3354114.0"
"000120","CJ대한통운","149000","-2500","-1.65","3399039.0"
"007070","GS리테일","32550","250","0.77","3408568.0"
"028670","팬오션","6140","-160","-2.54","3282257.0"
"272210","한화시스템","16600","-200","-1.19","3136062.0"
"298050","효성첨단소재","721000","-6000","-0.83","3230043.0"
"012750","에스원","84700","400","0.47","3218530.0"
"010060","OCI","136000","-3000","-2.16","3243514.0"
"026960","동서","31250","2100","7.20","3115625.0"
"002380","KCC","352000","-7000","-1.95","3128038.0"
"006280","녹십자","270000","1500","0.56","3155365.0"
"019170","신풍제약","58600","-600","-1.01","3104920.0"
"138930","BNK금융지주","9080","-40","-0.44","2959492.0"
"204320","만도","62700","-800","-1.26","2944211.0"
"282330","BGF리테일","174000","5000","2.96","3007400.0"
"112610","씨에스윈드","69600","-1500","-2.11","2935130.0"
"047810","한국항공우주","31600","-1550","-4.68","3080213.0"
"088350","한화생명","3540","-60","-1.67","3074596.0"
"023530","롯데쇼핑","104000","-1000","-0.95","2942031.0"
"030000","제일기획","24100","-150","-0.62","2772494.0"
"039490","키움증권","108000","1000","0.93","2831707.0"
"001040","CJ","98400","-200","-0.20","2871017.0"
"047050","포스코인터내셔널","22250","0","0.00","2745097.0"
"047040","대우건설","6570","0","0.00","2730641.0"
"298020","효성티앤씨","603000","-9000","-1.47","2609592.0"
"375500","DL이앤씨","133500","0","0.00","2584392.0"
"064350","현대로템","23700","100","0.42","2586672.0"
"010620","현대미포조선","64600","-1400","-2.12","2580263.0"
"001450","현대해상","28650","0","0.00","2561310.0"
"009240","한샘","112000","1000","0.90","2635800.0"
"000080","하이트진로","36100","300","0.84","2531823.0"
"012450","한화에어로스페이스","47100","-2200","-4.46","2384673.0"
"042660","대우조선해양","23150","-350","-1.49","2483779.0"
"052690","한전기술","65100","2400","3.83","2488122.0"
"004170","신세계","251500","-3000","-1.18","2476063.0"
"000880","한화","33600","-300","-0.88","2518613.0"
"000990","DB하이텍","54700","500","0.92","2428603.0"
"120110","코오롱인더","90300","-1200","-1.31","2436189.0"
"285130","SK케미칼","190000","-10000","-5.00","2232765.0"
"081660","휠라홀딩스","38400","-100","-0.26","2332885.0"
"004000","롯데정밀화학","85900","-500","-0.58","2216220.0"
"004800","효성","106000","500","0.47","2233529.0"
"011210","현대위아","84300","-1300","-1.52","2292545.0"
"006260","LS","65200","-800","-1.21","2099440.0"
"111770","영원무역","45850","600","1.33","2031681.0"
"017800","현대엘리베이","48400","550","1.15","1975455.0"
"010120","LS ELECTRIC","62400","100","0.16","1872000.0"
"007310","오뚜기","485000","-2500","-0.51","1780911.0"
"003090","대웅","32900","-100","-0.30","1912871.0"
"001440","대한전선","2285","-25","-1.08","1957041.0"
"093370","후성","20250","-100","-0.49","1875288.0"
"069960","현대백화점","82400","100","0.12","1928361.0"
"051600","한전KPS","42950","350","0.82","1932750.0"
"069620","대웅제약","141000","0","0.00","1633707.0"
"004370","농심","291500","3000","1.04","1773090.0"
"294870","HDC현대산업개발","25950","-150","-0.57","1710295.0"
"000240","한국앤컴퍼니","17350","-150","-0.86","1647126.0"
"007700","F&F홀딩스","42950","-450","-1.04","1679962.0"
"020560","아시아나항공","23050","-100","-0.43","1715191.0"
"001230","동국제강","17100","-550","-3.12","1631900.0"
"000150","두산","96400","-1600","-1.63","1592898.0"
"014820","동원시스템즈","58100","-100","-0.17","1695847.0"
"073240","금호타이어","5380","-30","-0.55","1545460.0"
"005300","롯데칠성","160000","0","0.00","1484621.0"
"010780","아이에스동서","45700","-100","-0.22","1411792.0"
"000210","DL","68000","-100","-0.15","1425000.0"
"032350","롯데관광개발","20650","-200","-0.96","1430542.0"
"192820","코스맥스","131000","1000","0.77","1486786.0"
"005250","녹십자홀딩스","29750","200","0.68","1399089.0"
