np_val,open,high,low,close,volume
0,129500,130500,127000,128000,4959740
0,128500,130000,127500,128000,2297507
32.14587080478668,128000,129500,125500,127500,1985417
0,126500,127500,123500,126000,2309608
0,98200,98600,97200,97900,2010529
0,97300,98300,96100,96300,2152221
128.82379186153412,95500,99200,95500,98500,1962833
0,99500,101500,98300,100000,2950459
0,260500,261500,258000,258500,106897
0,258000,258500,254000,254500,166314
128.82379186153412,254500,254500,250500,252000,178997
0,252000,254500,249000,254000,148158
0,129500,130500,127000,128000,4959740
0,128500,130000,127500,128000,2297507
56.403864443302155,128000,129500,125500,127500,1985417
0,126500,127500,123500,126000,2309608
0,129500,130500,127000,128000,4959740
0,128500,130000,127500,128000,2297507
-58.88747599720955,128000,129500,125500,127500,1985417
0,126500,127500,123500,126000,2309608
0,129500,130500,127000,128000,4959740
0,128500,130000,127500,128000,2297507
24.861262053251266,128000,129500,125500,127500,1985417
0,126500,127500,123500,126000,2309608
0,129500,130500,127000,128000,4959740
0,128500,130000,127500,128000,2297507
32.40086272358894,128000,129500,125500,127500,1985417
0,126500,127500,123500,126000,2309608
0,13150,13200,13100,13150,460025
0,13150,13300,13100,13250,545563
103.73443415760994,13200,13250,13100,13100,383145
0,13150,13300,13000,13250,760941
0,129500,130500,127000,128000,4959740
0,128500,130000,127500,128000,2297507
7.153529077768326,128000,129500,125500,127500,1985417
0,126500,127500,123500,126000,2309608
0,129500,130500,127000,128000,4959740
0,128500,130000,127500,128000,2297507
17.39340052008629,128000,129500,125500,127500,1985417
0,126500,127500,123500,126000,2309608
0,129500,130500,127000,128000,4959740
0,128500,130000,127500,128000,2297507
19.988857448101044,128000,129500,125500,127500,1985417
0,126500,127500,123500,126000,2309608
0,129500,130500,127000,128000,4959740
0,128500,130000,127500,128000,2297507
17.093959152698517,128000,129500,125500,127500,1985417
0,126500,127500,123500,126000,2309608
0,55600,56400,55200,56100,1221886
0,56300,57400,55700,57400,1812633
193.34436464309692,57100,58200,57000,57600,1476494
0,58000,59300,57600,59100,1912966
0,129500,130500,127000,128000,4959740
0,128500,130000,127500,128000,2297507
28.288671135902405,128000,129500,125500,127500,1985417
0,126500,127500,123500,126000,2309608
0,110500,116000,106000,114000,223862
0,112500,115000,111000,111000,102226
23.217633098363876,110000,112500,109000,112000,89953
0,111000,116500,108500,116500,108863
0,129500,130500,127000,128000,4959740
0,128500,130000,127500,128000,2297507
21.70961683988571,128000,129500,125500,127500,1985417
0,126500,127500,123500,126000,2309608
0,13150,13200,13100,13150,460025
0,13150,13300,13100,13250,545563
159.28294831514359,13200,13250,13100,13100,383145
0,13150,13300,13000,13250,760941
0,110500,116000,106000,114000,223862
0,112500,115000,111000,111000,102226
20.779336392879486,110000,112500,109000,112000,89953
0,111000,116500,108500,116500,108863
0,13150,13200,13100,13150,460025
0,13150,13300,13100,13250,545563
53.45610553026199,13200,13250,13100,13100,383145
0,13150,13300,13000,13250,760941
0,13150,13200,13100,13150,460025
0,13150,13300,13100,13250,545563
77.55171540379524,13200,13250,13100,13100,383145
0,13150,13300,13000,13250,760941
0,847000,863000,840000,840000,273548
0,823000,833000,802000,806000,262926
-3.2104203402996063,807000,828000,807000,818000,160106
0,813000,829000,800000,821000,170671
0,96900,97400,95100,95200,132214
0,94400,95900,94100,94700,157323
-3.2104203402996063,93600,95000,92800,94600,85627
0,93700,95700,93700,95000,139775
0,13150,13200,13100,13150,460025
0,13150,13300,13100,13250,545563
107.04662281274796,13200,13250,13100,13100,383145
0,13150,13300,13000,13250,760941
0,129500,130500,127000,128000,4959740
0,128500,130000,127500,128000,2297507
52.999265402555466,128000,129500,125500,127500,1985417
0,126500,127500,123500,126000,2309608
0,210000,211000,208000,209000,472664
0,209500,211000,206000,207500,775441
8.178971976041794,207000,209500,206000,207500,362676
0,207500,212000,206000,211000,649860
0,210000,211000,208000,209000,472664
0,209500,211000,206000,207500,775441
-41.93578526377678,207000,209500,206000,207500,362676
0,207500,212000,206000,211000,649860
0,33850,34000,33400,33500,331967
0,33500,34350,33450,33900,431849
-41.93578526377678,33900,34050,33350,33600,379133
0,33600,34500,33200,34450,397817
0,30350,30350,29150,29200,3508550
0,29400,29900,29250,29400,2494422
-4.014314144849777,29400,29500,28750,28950,2609333
0,29000,29650,28700,29500,2924186
0,123000,127500,121500,127500,4075027
0,129500,130500,127000,128000,4959740
25.97459575533867,128500,130000,127500,128000,2297507
0,128000,129500,125500,127500,1985417
0,55700,56100,55000,55400,726488
0,55600,56400,55200,56100,1221886
160.0202708542347,56300,57400,55700,57400,1812633
0,57100,58200,57000,57600,1476494
0,489500,497000,487000,493500,147933
0,498000,502000,484000,487000,281768
48.46934559941292,488500,498000,487000,493000,176975
0,496000,500000,480000,488000,198513
0,245500,246500,243000,244500,58515
0,244000,244500,236500,237500,204488
10.45917096734047,239500,243000,238000,242000,129698
0,242500,244500,237000,237500,74325
0,245500,246500,243000,244500,58515
0,244000,244500,236500,237500,204488
23.507905542850494,239500,243000,238000,242000,129698
0,242500,244500,237000,237500,74325
0,190000,192000,189000,190000,188051
0,191500,195000,190000,192500,256326
119.36132195591927,192500,193000,184500,186000,288594
0,186000,189500,184000,186500,158610
0,23000,23550,22650,23000,9022295
0,23200,23250,21800,21800,10961988
-37.99845510721207,22050,23350,21900,23100,15021575
0,23250,23500,22550,22600,11669246
0,97800,99100,97300,97800,27515
0,97500,98000,95100,95600,26625
-37.99845510721207,95900,99300,93100,98000,63242
0,97300,99200,96200,96400,46105
0,123000,127500,121500,127500,4075027
0,129500,130500,127000,128000,4959740
38.20301204919815,128500,130000,127500,128000,2297507
0,128000,129500,125500,127500,1985417
0,99800,100500,99200,99600,53996
0,100000,101000,99200,100500,63524
42.664938509464264,100000,100500,98600,98600,74327
0,98600,99200,97900,98400,38677
0,123000,127500,121500,127500,4075027
0,129500,130500,127000,128000,4959740
46.28867945075035,128500,130000,127500,128000,2297507
0,128000,129500,125500,127500,1985417
0,118500,120000,118000,119500,43290
0,123000,126500,122000,125000,249680
35.42542463541031,125500,128000,124500,125000,112838
0,123500,126500,123000,125500,68421
0,162500,164500,161000,162500,99742
0,162500,163500,161000,162000,113759
98.10799998044968,162500,165000,161000,161500,113600
0,162500,169500,162000,166500,185081
0,29400,29800,29250,29350,57027
0,29400,29450,29100,29250,60477
98.61951458454132,29200,29500,28850,29150,220032
0,29100,31750,29100,31250,449602
0,123000,127500,121500,127500,4075027
0,129500,130500,127000,128000,4959740
9.248411178588867,128500,130000,127500,128000,2297507
0,128000,129500,125500,127500,1985417
0,162000,164500,160000,162000,406406
0,162500,162500,155000,155500,677731
115.87003782391548,155500,156000,150500,153000,596788
0,151500,153500,147000,148000,625765
0,24250,24450,23500,23650,393249
0,23800,24000,23450,23600,380989
2.055385112762451,23600,23900,23400,23500,340452
0,23400,23600,23150,23150,339187
0,97800,99100,97300,97800,27515
0,97500,98000,95100,95600,26625
2.055385112762451,95900,99300,93100,98000,63242
0,97300,99200,96200,96400,46105
0,14600,14900,14550,14600,107514
0,14600,14750,14450,14650,117860
2.055385112762451,14650,15500,14400,14450,371629
0,14350,14800,14300,14500,175872
0,0,0,0,9270,0
0,0,0,0,9270,0
2.055385112762451,0,0,0,9270,0
0,0,0,0,9270,0
0,25300,25500,24650,25000,1218344
0,25200,25550,24700,24700,1052310
115.63008773326874,24800,25750,24650,25500,1783098
0,25400,26100,25400,25600,1971459
0,55700,56100,55000,55400,726488
0,55600,56400,55200,56100,1221886
121.28076902031898,56300,57400,55700,57400,1812633
0,57100,58200,57000,57600,1476494
0,34000,34300,33800,33800,281147
0,33850,34000,33400,33500,331967
64.12529847025871,33500,34350,33450,33900,431849
0,33900,34050,33350,33600,379133
0,123000,127500,121500,127500,4075027
0,129500,130500,127000,128000,4959740
19.83211237192154,128500,130000,127500,128000,2297507
0,128000,129500,125500,127500,1985417
0,47800,48250,47750,48150,176178
0,48300,48700,48150,48550,224543
-20.418969720602036,48200,49200,48100,48800,250800
0,48650,48900,48150,48250,163427
0,96900,98200,96100,96900,190502
0,97400,97600,96200,96400,151627
0.5460297465324402,96800,99000,96700,97300,221101
0,97000,97000,95500,96600,164499
0,96900,98200,96100,96900,190502
0,97400,97600,96200,96400,151627
0.5460297465324402,96800,99000,96700,97300,221101
0,97000,97000,95500,96600,164499
0,372500,377500,369000,372500,35447
0,375000,375500,359500,360500,40020
2.3934855461120605,359500,366500,356500,359000,42202
0,360000,360000,349500,352000,43066
0,64300,64500,63900,63900,88600
0,63900,64400,62500,62800,214973
2.097474217414856,62900,63900,62700,63400,193974
0,62900,63700,62400,62700,135290
0,162000,164500,160000,162000,406406
0,162500,162500,155000,155500,677731
212.9093830883503,155500,156000,150500,153000,596788
0,151500,153500,147000,148000,625765
0,123000,127500,121500,127500,4075027
0,129500,130500,127000,128000,4959740
-62.57672929763794,128500,130000,127500,128000,2297507
0,128000,129500,125500,127500,1985417
0,13050,13150,12950,13150,322465
0,13150,13200,13100,13150,460025
-6.239408761262894,13150,13300,13100,13250,545563
0,13200,13250,13100,13100,383145
0,13050,13150,12950,13150,322465
0,13150,13200,13100,13150,460025
26.805742263793945,13150,13300,13100,13250,545563
0,13200,13250,13100,13100,383145
0,55700,56100,55000,55400,726488
0,55600,56400,55200,56100,1221886
70.94462072849274,56300,57400,55700,57400,1812633
0,57100,58200,57000,57600,1476494
0,34000,34300,33800,33800,281147
0,33850,34000,33400,33500,331967
56.05251941084862,33500,34350,33450,33900,431849
0,33900,34050,33350,33600,379133
0,70800,71000,70400,70600,9507991
0,70700,71000,70200,70300,10151638
33.31499546766281,70300,70600,70000,70200,10891094
0,70000,70700,70000,70400,8395448
0,14600,14900,14550,14600,107514
0,14600,14750,14450,14650,117860
55.850755870342255,14650,15500,14400,14450,371629
0,14350,14800,14300,14500,175872
0,245500,246500,243000,244500,58515
0,244000,244500,236500,237500,204488
47.27109909057617,239500,243000,238000,242000,129698
0,242500,244500,237000,237500,74325
0,97800,99100,97300,97800,27515
0,97500,98000,95100,95600,26625
117.08876821398735,95900,99300,93100,98000,63242
0,97300,99200,96200,96400,46105
0,0,0,0,9270,0
0,0,0,0,9270,0
117.08876821398735,0,0,0,9270,0
0,0,0,0,9270,0
0,245500,246500,243000,244500,58515
0,244000,244500,236500,237500,204488
-0.9053583741188049,239500,243000,238000,242000,129698
0,242500,244500,237000,237500,74325
0,97800,99100,97300,97800,27515
0,97500,98000,95100,95600,26625
20.736345797777176,95900,99300,93100,98000,63242
0,97300,99200,96200,96400,46105
0,47100,47100,45950,46350,433973
0,46300,46650,44900,45000,723492
0.9677867293357849,45050,46250,44950,45950,509450
0,45250,45800,44050,44350,827407
0,245500,246500,243000,244500,58515
0,244000,244500,236500,237500,204488
2.481276750564575,239500,243000,238000,242000,129698
0,242500,244500,237000,237500,74325
0,13050,13150,12950,13150,322465
0,13150,13200,13100,13150,460025
-10.230900585651398,13150,13300,13100,13250,545563
0,13200,13250,13100,13100,383145
0,15450,15500,15150,15400,437089
0,15350,15500,15250,15250,310202
1.932891309261322,15250,15400,14850,15000,849948
0,14850,15150,14850,15000,640145
0,47800,48250,47750,48150,176178
0,48300,48700,48150,48550,224543
-9.342461109161377,48200,49200,48100,48800,250800
0,48650,48900,48150,48250,163427
0,55700,56100,55000,55400,726488
0,55600,56400,55200,56100,1221886
29.483245968818665,56300,57400,55700,57400,1812633
0,57100,58200,57000,57600,1476494
0,47800,48250,47750,48150,176178
0,48300,48700,48150,48550,224543
-13.309591084718704,48200,49200,48100,48800,250800
0,48650,48900,48150,48250,163427
0,217000,218500,213500,218000,482568
0,219500,225500,218500,219000,522976
15.953346163034439,220000,221000,217500,217500,340552
0,217000,220500,214500,219500,293238
0,123000,123000,120500,121500,1831322
0,123000,127500,121500,127500,4075027
-4.239420562982559,129500,130500,127000,128000,4959740
0,128500,130000,127500,128000,2297507
0,123000,123000,120500,121500,1831322
0,123000,127500,121500,127500,4075027
8.978160083293915,129500,130500,127000,128000,4959740
0,128500,130000,127500,128000,2297507
0,11800,11850,11600,11750,2285118
0,11800,11950,11750,11950,2348145
9.996597349643707,12050,12050,11900,12000,1717955
0,12050,12350,12000,12350,2953960
0,217000,223000,215500,222000,563771
0,224000,225000,219000,220000,427388
-1.0311980843544006,221000,221000,215000,216500,412924
0,217000,218500,213500,218000,482568
0,114000,118500,114000,117000,2731883
0,118500,122000,118500,121500,3891958
-28.222689509391785,123000,123500,120000,122000,2331425
0,123000,123000,120500,121500,1831322
0,61200,62800,61200,61500,63062
0,61600,64600,61600,64500,295140
11.701846331357956,64200,66200,63400,65200,226949
0,65500,66000,64000,65800,157424
0,34950,35000,33100,33500,1093541
0,33550,33700,33150,33550,587481
-1.5918086767196655,33700,33950,33550,33950,385028
0,34050,34100,33750,33950,319830
0,96600,98900,96600,98700,53586
0,98900,99200,97700,98400,64754
4.099378287792206,99000,99500,97900,98400,72282
0,98700,99800,97200,99100,66894
0,29700,30450,29400,29850,293132
0,30000,30550,29700,30500,403766
4.099378287792206,30800,31150,30300,30850,362807
0,31150,31550,30750,31250,498392
0,6410,6530,6410,6520,937703
0,6550,6650,6530,6630,919742
3.0144922733306885,6640,6730,6630,6690,993736
0,6700,6730,6560,6620,723893
0,485500,498500,485500,488000,184613
0,491500,494500,478000,478500,189867
20.18828734755516,478000,483500,467500,472500,236323
0,476000,489500,471500,486000,178931
0,155000,157500,154000,156500,98229
0,160500,165000,160000,164000,239589
21.466250330209732,164000,166500,161500,162500,141887
0,163000,164000,161000,161500,90183
0,96200,96300,93500,94000,4098832
0,92400,92900,90800,91500,4728215
3.126617044210434,90900,93500,90500,92000,3045438
0,92400,94500,92100,93800,2414639
0,260000,261500,256000,257000,170696
0,256500,260000,254000,257500,120749
3.126617044210434,259500,265000,259000,264000,182387
0,268000,268500,263000,265500,143424
0,3505,3530,3435,3480,4329447
0,3515,3620,3510,3595,6444389
-10.662500828504562,3565,3625,3540,3600,3087797
0,3595,3630,3560,3570,2487832
0,35100,35700,34800,34850,422459
0,34800,35150,34550,35000,316601
-10.17132756114006,34950,35000,33100,33500,1093541
0,33550,33700,33150,33550,587481
0,72300,72400,71500,71500,14043287
0,70700,70900,68700,69000,31001484
72.20149344205856,68700,69600,68300,68800,24172015
0,69000,69800,68800,69400,19520641
0,32050,32050,28900,29050,10014881
0,28900,29950,28400,28950,4887028
-11.856024086475372,29000,29650,28850,29300,3087269
0,30200,31050,29400,29900,7597299
0,91400,93300,91100,92300,171975
0,90300,92900,90100,91900,170757
23.231942176818848,93400,94000,90900,92700,230482
0,93000,93700,92400,93400,129368
0,460000,476000,457500,474000,174489
0,471000,477000,466000,470000,105885
-3.614891856908798,468500,487000,464000,484000,161134
0,485500,498500,485500,488000,184613
0,262000,264500,259000,259500,146964
0,260000,261500,256000,257000,170696
-2.3369288742542267,256500,260000,254000,257500,120749
0,259500,265000,259000,264000,182387
0,91600,98800,91600,97300,292791
0,97300,101500,95600,100000,244101
-2.3369288742542267,101000,101000,98300,100500,141355
0,100500,103000,100000,100500,117404
0,262000,264500,259000,259500,146964
0,260000,261500,256000,257000,170696
39.92194953560829,256500,260000,254000,257500,120749
0,259500,265000,259000,264000,182387
0,262000,264500,259000,259500,146964
0,260000,261500,256000,257000,170696
28.045960277318954,256500,260000,254000,257500,120749
0,259500,265000,259000,264000,182387
0,460000,476000,457500,474000,174489
0,471000,477000,466000,470000,105885
-7.672957211732864,468500,487000,464000,484000,161134
0,485500,498500,485500,488000,184613
0,262000,264500,259000,259500,146964
0,260000,261500,256000,257000,170696
-6.394994229078293,256500,260000,254000,257500,120749
0,259500,265000,259000,264000,182387
0,262000,264500,259000,259500,146964
0,260000,261500,256000,257000,170696
57.70342394709587,256500,260000,254000,257500,120749
0,259500,265000,259000,264000,182387
0,44000,45550,44000,45400,141507
0,49800,50200,46350,46400,466832
54.42960810661316,47300,49300,46600,48150,231497
0,48500,48600,47850,48250,71795
0,71600,72100,71300,71600,13683532
0,72300,72400,71500,71500,14043287
-29.222729593515396,70700,70900,68700,69000,31001484
0,68700,69600,68300,68800,24172015
0,91400,93300,91100,92300,171975
0,90300,92900,90100,91900,170757
29.093730002641678,93400,94000,90900,92700,230482
0,93000,93700,92400,93400,129368
0,460000,476000,457500,474000,174489
0,471000,477000,466000,470000,105885
-4.508257120847702,468500,487000,464000,484000,161134
0,485500,498500,485500,488000,184613
0,262000,264500,259000,259500,146964
0,260000,261500,256000,257000,170696
-3.2302941381931305,256500,260000,254000,257500,120749
0,259500,265000,259000,264000,182387
0,91600,98800,91600,97300,292791
0,97300,101500,95600,100000,244101
-3.2302941381931305,101000,101000,98300,100500,141355
0,100500,103000,100000,100500,117404
0,131000,135500,129500,133000,185345
0,132500,134500,130000,132500,64571
143.51584821939468,131500,132000,127000,129000,83115
0,128500,134500,128000,132000,64110
0,262000,264500,259000,259500,146964
0,260000,261500,256000,257000,170696
35.58293756842613,256500,260000,254000,257500,120749
0,259500,265000,259000,264000,182387
0,96300,96800,95000,95700,3834957
0,96200,96300,93500,94000,4098832
191.89104536175728,92400,92900,90800,91500,4728215
0,90900,93500,90500,92000,3045438
0,262000,264500,259000,259500,146964
0,260000,261500,256000,257000,170696
191.89104536175728,256500,260000,254000,257500,120749
0,259500,265000,259000,264000,182387
0,460000,476000,457500,474000,174489
0,471000,477000,466000,470000,105885
21.031461745500565,468500,487000,464000,484000,161134
0,485500,498500,485500,488000,184613
0,12600,12800,12600,12750,538618
0,12700,12750,12500,12550,443051
-0.4175471067428589,12550,12600,12400,12550,555830
0,12600,12900,12550,12900,583917
0,112500,116000,112000,113000,4610915
0,115000,119500,115000,119500,5146917
-69.3698493540287,121500,121500,117500,117500,3930836
0,117000,118500,113000,113500,3810466
0,72600,72800,71200,71300,18956962
0,71600,72100,71300,71600,13683532
86.86795592308044,72300,72400,71500,71500,14043287
0,70700,70900,68700,69000,31001484
0,849000,859000,807000,812000,170809
0,818000,823000,783000,791000,139569
